pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KHLC,2021-06-20 00:00:00 UTC,2021-06-21 15:00:00 UTC,39.0,17.239999771118164,12.420000076293945,-4.94,1.19,1019.4600219726562,940.6599731445312,19.729999542236328
KHLC,2021-06-20 00:00:00 UTC,2021-06-20 19:00:00 UTC,19.0,29.28000068664551,18.71999931335449,-7.06,2.66,999.25,925.3400268554688,6.9099998474121085
KHLC,2021-06-16 00:00:00 UTC,2021-06-17 13:00:00 UTC,37.0,26.309999465942386,12.149999618530273,1.77,2.47,1008.6199951171876,934.3499755859376,35.54999923706055
KHLC,2021-06-16 00:00:00 UTC,2021-06-16 20:00:00 UTC,20.0,39.04999923706055,10.760000228881836,6.25,0.71,1008.9099731445312,934.3300170898434,8.010000228881836
KHLC,2021-06-16 00:00:00 UTC,2021-06-17 18:00:00 UTC,42.0,40.430000305175774,7.070000171661378,6.04,4.57,1006.4299926757812,932.239990234375,92.23999786376952
KHLC,2021-06-16 00:00:00 UTC,2021-06-17 06:00:00 UTC,30.0,27.649999618530273,11.880000114440918,2.15,4.69,1009.1900024414062,935.1599731445312,98.2300033569336
KHLC,2021-06-07 00:00:00 UTC,2021-06-08 01:00:00 UTC,25.0,29.46999931335449,15.079999923706055,4.8,-2.32,1004.3200073242188,928.6400146484376,57.77000045776367
KHLC,2021-06-25 00:00:00 UTC,2021-06-26 01:00:00 UTC,25.0,30.709999084472656,13.460000038146973,-5.61,1.83,1003.6599731445312,927.739990234375,57.7400016784668
KHLC,2021-06-19 00:00:00 UTC,2021-06-20 02:00:00 UTC,26.0,32.049999237060554,11.5,4.56,-1.13,998.5399780273436,924.239990234375,66.12000274658203
KHLC,2021-06-19 00:00:00 UTC,2021-06-19 14:00:00 UTC,14.0,25.6299991607666,20.200000762939453,-1.52,-4.61,1005.5999755859376,931.1500244140624,35.93000030517578
KHLC,2021-06-19 00:00:00 UTC,2021-06-20 01:00:00 UTC,25.0,34.34999847412109,9.739999771118164,2.87,-1.4,998.1500244140624,923.9299926757811,91.13999938964844
KHLC,2021-06-11 00:00:00 UTC,2021-06-11 10:00:00 UTC,10.0,24.559999465942386,22.940000534057614,2.78,-0.04,1001.3499755859376,927.5399780273436,5.829999923706056
KHLC,2021-06-11 00:00:00 UTC,2021-06-12 11:00:00 UTC,35.0,14.659999847412108,13.729999542236328,-0.33,-0.11,1015.530029296875,939.8499755859376,2.220000028610229
KHLC,2021-06-13 00:00:00 UTC,2021-06-14 14:00:00 UTC,38.0,24.040000915527344,14.909999847412108,-3.89,-1.13,1016.3699951171876,939.469970703125,87.70999908447266
KHLC,2021-06-24 00:00:00 UTC,2021-06-25 23:00:00 UTC,47.0,31.96999931335449,14.850000381469727,-1.26,-2.84,1004.3800048828124,928.4299926757811,6.210000038146973
KHLC,2021-06-12 00:00:00 UTC,2021-06-13 23:00:00 UTC,47.0,33.880001068115234,17.100000381469727,5.67,-3.14,1011.9500122070312,936.4400024414062,10.56999969482422
KHLC,2021-06-12 00:00:00 UTC,2021-06-13 19:00:00 UTC,43.0,32.279998779296875,18.940000534057614,4.95,-2.83,1013.8800048828124,938.25,4.78000020980835
KHLC,2021-07-01 00:00:00 UTC,2021-07-02 12:00:00 UTC,36.0,19.520000457763672,17.8700008392334,-0.56,-1.23,1017.5800170898438,940.25,98.22000122070312
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 22:00:00 UTC,22.0,31.20000076293945,15.479999542236328,5.94,-0.52,1001.8900146484376,926.6400146484376,12.1899995803833
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 17:00:00 UTC,41.0,27.61000061035156,19.350000381469727,5.61,-0.41,1005.5999755859376,930.4400024414062,30.65999984741211
KHLC,2021-06-03 00:00:00 UTC,2021-06-03 19:00:00 UTC,19.0,28.739999771118164,8.369999885559082,2.04,-0.36,1012.4000244140624,934.5599975585936,92.88999938964844
KHLC,2021-06-03 00:00:00 UTC,2021-06-03 18:00:00 UTC,18.0,27.84000015258789,9.270000457763674,1.58,0.51,1013.239990234375,935.3499755859376,94.3499984741211
KHLC,2021-06-29 00:00:00 UTC,2021-06-29 07:00:00 UTC,7.0,18.959999084472656,17.739999771118164,-0.61,-2.03,1018.6599731445312,940.9500122070312,6.090000152587891
KHLC,2021-06-09 00:00:00 UTC,2021-06-09 18:00:00 UTC,18.0,29.90999984741211,19.96999931335449,4.18,-3.97,1011.4600219726562,936.239990234375,59.04999923706055
