pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 11:00:00 UTC,11.0,17.569999694824222,13.789999961853027,5.190000057220459,-0.029999999329447743,1007.1900024414062,929.27001953125,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 17:00:00 UTC,17.0,26.059999465942386,17.309999465942386,5.880000114440918,-0.20999999344348907,1005.97998046875,928.8300170898434,0.7799999713897706
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 22:00:00 UTC,46.0,29.70000076293945,16.639999389648438,4.2800002098083505,-2.7799999713897705,1005.530029296875,928.989990234375,28.1200008392334
KHLC,2021-06-06 00:00:00 UTC,2021-06-08 19:00:00 UTC,67.0,28.920000076293945,19.51000022888184,4.420000076293944,-3.0199999809265137,1010.0599975585938,932.989990234375,70.30999755859375
KHLC,2021-06-06 00:00:00 UTC,2021-06-15 06:00:00 UTC,222.0,24.59000015258789,13.43000030517578,3.539999961853028,0.7099999785423279,1016.8499755859376,939.4500122070312,99.22000122070312
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 16:00:00 UTC,40.0,25.6299991607666,19.350000381469727,3.6099998950958248,-0.5899999737739563,1009.0599975585938,931.6599731445312,51.56000137329102
KHLC,2021-06-06 00:00:00 UTC,2021-06-08 12:00:00 UTC,60.0,19.76000022888184,19.200000762939453,1.7300000190734863,-0.740000009536743,1010.5499877929688,932.6300048828124,100.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-11 15:00:00 UTC,135.0,25.40999984741211,16.5,-9.239999771118164,-0.43999999761581426,1009.97998046875,932.5399780273436,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 05:00:00 UTC,5.0,21.319999694824215,12.670000076293945,5.449999809265137,-0.959999978542328,1007.3599853515624,929.8699951171876,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 06:00:00 UTC,6.0,20.38999938964844,12.770000457763672,5.329999923706056,-0.5099999904632568,1007.1099853515624,929.5499877929688,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 09:00:00 UTC,9.0,18.46999931335449,13.909999847412108,4.9099998474121085,0.5400000214576721,1007.3400268554688,929.5599975585936,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 06:00:00 UTC,30.0,20.93000030517578,17.020000457763672,4.099999904632568,-0.6700000166893005,1007.780029296875,930.1900024414062,1.559999942779541
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 13:00:00 UTC,37.0,20.549999237060547,18.57999992370605,2.799999952316284,-0.3499999940395355,1009.0700073242188,931.260009765625,41.4099998474121
KHLC,2021-06-06 00:00:00 UTC,2021-06-08 18:00:00 UTC,66.0,27.540000915527344,19.729999542236328,4.349999904632568,-2.759999990463257,1010.97998046875,933.72998046875,80.47000122070312
KHLC,2021-06-06 00:00:00 UTC,2021-06-09 14:00:00 UTC,86.0,23.46999931335449,21.530000686645508,3.630000114440918,-2.8499999046325684,1011.9099731445312,934.1500244140624,100.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-11 06:00:00 UTC,126.0,25.489999771118164,21.899999618530273,1.350000023841858,-2.25,1002.6699829101562,926.280029296875,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 18:00:00 UTC,18.0,27.309999465942386,17.370000839233402,6.380000114440918,-0.33000001311302185,1005.6799926757812,928.8099975585936,0.7799999713897706
KHLC,2021-06-06 00:00:00 UTC,2021-06-07 08:00:00 UTC,32.0,19.489999771118164,17.389999389648438,2.970000028610229,0.550000011920929,1007.9299926757812,930.1699829101561,0.7799999713897706
KHLC,2021-06-06 00:00:00 UTC,2021-06-08 04:00:00 UTC,52.0,23.569999694824215,18.290000915527344,3.470000028610229,-3.1600000858306885,1008.969970703125,931.7000122070312,53.9099998474121
KHLC,2021-06-06 00:00:00 UTC,2021-06-09 21:00:00 UTC,93.0,30.34000015258789,21.68000030517578,4.480000019073486,-3.2100000381469727,1009.9099731445312,933.1099853515624,78.12000274658203
KHLC,2021-06-06 00:00:00 UTC,2021-06-10 09:00:00 UTC,105.0,22.959999084472656,22.489999771118164,0.8199999928474426,-3.0,1009.2899780273438,931.760009765625,100.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-11 03:00:00 UTC,123.0,28.51000022888184,21.319999694824215,3.5799999237060547,-1.6200000047683716,1002.2999877929688,926.27001953125,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-08 03:00:00 UTC,51.0,24.36000061035156,17.920000076293945,2.700000047683716,-3.5899999141693115,1008.1799926757812,931.2000122070312,17.969999313354492
KHLC,2021-06-06 00:00:00 UTC,2021-06-10 18:00:00 UTC,114.0,31.96999931335449,23.34000015258789,3.309999942779541,-3.6400001049041752,1005.47998046875,929.1199951171876,10.159999847412108
KHLC,2021-06-06 00:00:00 UTC,2021-06-15 12:00:00 UTC,228.0,21.40999984741211,13.529999732971193,1.3400000333786013,2.0799999237060547,1017.97998046875,940.1699829101561,4.690000057220459
KHLC,2021-06-06 00:00:00 UTC,2021-06-06 16:00:00 UTC,16.0,24.399999618530273,16.940000534057614,5.460000038146973,0.30000001192092896,1006.2999877929688,929.010009765625,0.0
KHLC,2021-06-06 00:00:00 UTC,2021-06-09 09:00:00 UTC,81.0,21.819999694824215,19.940000534057614,2.890000104904175,-2.180000066757202,1010.8599853515624,933.1599731445312,19.530000686645508
