observation_time,icao,temperature_k,dewpoint_k,wind_speed_mps,sfc_press_pa,cloud_cover
2021-06-03 19:00:00,KHLC,302.14999977777785,284.19999977777775,3.6031424,93684.7,43.75
2021-06-03 20:00:00,KHLC,302.14999977777785,282.19999977777775,3.0890464,93622.25,75.0
2021-06-03 21:00:00,KHLC,302.14999977777785,283.19999977777775,2.056384,93591.02,43.75
2021-06-03 22:00:00,KHLC,303.14999977777785,283.22222200000004,4.1172384000000015,93559.79,43.75
2021-06-03 23:00:00,KHLC,303.14999977777785,282.22222200000004,,93497.33,
2021-06-04 00:00:00,KHLC,303.14999977777785,284.22222200000004,3.6031424,93466.11,
2021-06-04 01:00:00,KHLC,302.14999977777785,284.19999977777775,2.056384,93466.11,
2021-06-04 02:00:00,KHLC,299.14999977777785,285.1611108888889,2.056384,93497.33,
2021-06-04 03:00:00,KHLC,296.14999977777785,285.12777755555555,2.57048,93528.56,
2021-06-04 04:00:00,KHLC,295.14999977777785,286.12777755555555,3.0890464,93622.25,
2021-06-04 05:00:00,KHLC,294.14999977777785,286.122222,3.6031424,93653.48,
2021-06-04 06:00:00,KHLC,292.14999977777785,285.1111108888889,3.0890464,93653.48,
2021-06-04 07:00:00,KHLC,292.14999977777785,285.1111108888889,3.0890464,93622.25,
2021-06-04 08:00:00,KHLC,291.14999977777785,285.1111108888889,3.0890464,93622.25,
2021-06-04 09:00:00,KHLC,291.14999977777785,285.1111108888889,5.1454304,93622.25,
2021-06-04 10:00:00,KHLC,291.14999977777785,285.1111108888889,3.6031424,93591.02,
2021-06-04 11:00:00,KHLC,290.14999977777785,285.122222,4.1172384000000015,93591.02,
2021-06-04 12:00:00,KHLC,288.14999977777785,285.12777755555555,2.57048,93622.25,
2021-06-04 13:00:00,KHLC,291.14999977777785,285.1111108888889,3.0890464,93684.7,
2021-06-04 14:00:00,KHLC,294.14999977777785,286.122222,2.056384,93684.7,
2021-06-04 15:00:00,KHLC,299.14999977777785,287.14999977777785,3.6031424,93684.7,
2021-06-04 16:00:00,KHLC,301.14999977777785,287.17222200000003,5.1454304,93653.48,
2021-06-04 17:00:00,KHLC,303.14999977777785,284.22222200000004,4.6313344,93591.02,
2021-06-04 18:00:00,KHLC,304.14999977777785,285.22777755555563,5.6595264,93559.79,
2021-06-04 19:00:00,KHLC,304.14999977777785,285.22777755555563,4.1172384000000015,93528.56,
2021-06-04 20:00:00,KHLC,305.14999977777785,285.24999977777776,4.1172384000000015,93466.11,43.75
2021-06-04 21:00:00,KHLC,305.14999977777785,285.24999977777776,4.6313344,93434.88,43.75
2021-06-04 22:00:00,KHLC,305.14999977777785,285.24999977777776,5.1454304,93403.65,
