pt,model_run,fcst_time,fcst_dt,sfc_air_temperature,sfc_dewpoint,v_wind_10m,u_wind_10m,sfc_pressure,sea_level_pressure,cloud_cover
KBOS,2021-06-16 00:00:00 UTC,2021-06-17 20:00:00 UTC,44.0,20.5,10.0,4.130000114440918,-0.8500000238418579,1011.030029296875,1009.5399780273438,7.03000020980835
KBOS,2021-06-16 00:00:00 UTC,2021-06-17 22:00:00 UTC,46.0,20.319999694824215,9.720000267028809,1.7400000095367432,2.2699999809265137,1011.219970703125,1009.719970703125,4.690000057220459
KBOS,2021-06-16 00:00:00 UTC,2021-06-18 12:00:00 UTC,60.0,16.799999237060547,10.68000030517578,0.9499999880790709,2.390000104904175,1015.9199829101562,1014.489990234375,0.0
KBOS,2021-06-09 00:00:00 UTC,2021-06-10 05:00:00 UTC,29.0,17.989999771118164,11.829999923706055,-4.489999771118164,-0.3700000047683716,1014.6900024414062,1013.1099853515624,0.0
KBOS,2021-06-09 00:00:00 UTC,2021-06-10 10:00:00 UTC,34.0,16.559999465942386,11.779999732971193,-4.420000076293944,-0.8999999761581422,1016.27001953125,1014.7100219726562,43.75
KBOS,2021-06-09 00:00:00 UTC,2021-06-10 14:00:00 UTC,38.0,16.950000762939453,9.699999809265137,-3.119999885559082,-4.539999961853027,1019.02001953125,1017.4199829101562,0.0
KBOS,2021-06-09 00:00:00 UTC,2021-06-11 03:00:00 UTC,51.0,14.199999809265135,9.489999771118164,2.900000095367432,-0.6700000166893005,1019.75,1018.1799926757812,1.559999942779541
KBOS,2021-06-09 00:00:00 UTC,2021-06-11 10:00:00 UTC,58.0,13.880000114440918,9.529999732971191,0.6299999952316284,-2.1300001144409184,1018.9299926757812,1017.3699951171876,0.0
KBOS,2021-06-15 00:00:00 UTC,2021-06-18 10:00:00 UTC,82.0,14.5600004196167,10.470000267028807,-0.029999999329447743,3.0,1016.0599975585938,1014.5800170898438,0.0
KBOS,2021-06-15 00:00:00 UTC,2021-06-19 06:00:00 UTC,102.0,17.430000305175778,12.239999771118164,3.849999904632568,3.220000028610229,1011.4199829101562,1009.9000244140624,26.559999465942386
KBOS,2021-06-15 00:00:00 UTC,2021-06-20 00:00:00 UTC,120.0,20.68000030517578,17.120000839233402,5.550000190734863,1.7599999904632568,1003.6799926757812,1002.25,96.87999725341795
KBOS,2021-06-15 00:00:00 UTC,2021-06-21 18:00:00 UTC,162.0,22.54999923706055,14.270000457763672,1.940000057220459,-2.8499999046325684,1007.719970703125,1006.1799926757812,57.81000137329102
KBOS,2021-06-20 00:00:00 UTC,2021-06-23 00:00:00 UTC,72.0,19.209999084472656,17.180000305175778,-5.059999942779541,2.039999961853028,1005.6699829101562,1004.1699829101562,100.0
KBOS,2021-06-20 00:00:00 UTC,2021-06-25 03:00:00 UTC,123.0,17.049999237060547,14.550000190734865,2.2799999713897705,0.6499999761581421,1028.25,1026.68994140625,98.44000244140624
KBOS,2021-06-03 00:00:00 UTC,2021-06-04 01:00:00 UTC,25.0,17.530000686645508,15.619999885559082,5.320000171661377,3.869999885559082,1013.489990234375,1012.010009765625,87.5
KBOS,2021-06-03 00:00:00 UTC,2021-06-04 18:00:00 UTC,42.0,18.8700008392334,15.989999771118164,3.920000076293945,2.240000009536743,1011.0999755859376,1009.5399780273438,99.22000122070312
KBOS,2021-06-03 00:00:00 UTC,2021-06-05 04:00:00 UTC,52.0,16.090000152587894,15.75,2.6700000762939453,2.9100000858306885,1011.6199951171876,1010.1500244140624,96.08999633789062
KBOS,2021-06-28 00:00:00 UTC,2021-07-02 18:00:00 UTC,114.0,19.940000534057614,17.370000839233402,1.6200000047683716,-2.75,1008.9600219726562,1007.4199829101562,92.97000122070312
KBOS,2021-06-28 00:00:00 UTC,2021-07-03 06:00:00 UTC,126.0,17.920000076293945,17.170000076293945,-0.6000000238418579,-3.799999952316284,1011.3699951171876,1009.9199829101562,99.22000122070312
KBOS,2021-06-28 00:00:00 UTC,2021-07-03 12:00:00 UTC,132.0,17.569999694824222,16.129999160766598,-1.809999942779541,-4.75,1013.3300170898438,1011.7999877929688,100.0
KBOS,2021-06-05 00:00:00 UTC,2021-06-05 21:00:00 UTC,21.0,23.540000915527344,14.729999542236328,2.3399999141693115,6.079999923706056,1008.1599731445312,1006.6699829101562,66.41000366210939
KBOS,2021-06-05 00:00:00 UTC,2021-06-06 11:00:00 UTC,35.0,18.309999465942386,15.090000152587892,1.100000023841858,4.1599998474121085,1014.1599731445312,1012.6799926757812,0.0
KBOS,2021-06-10 00:00:00 UTC,2021-06-13 21:00:00 UTC,93.0,20.63999938964844,10.140000343322754,7.269999980926514,1.5399999618530271,1010.0,1008.52001953125,42.18999862670898
KBOS,2021-06-10 00:00:00 UTC,2021-06-14 09:00:00 UTC,105.0,16.110000610351562,15.079999923706055,5.170000076293944,-1.919999957084656,1008.989990234375,1007.4099731445312,98.44000244140624
KBOS,2021-06-11 00:00:00 UTC,2021-06-13 20:00:00 UTC,68.0,21.149999618530273,12.119999885559082,4.929999828338623,0.5799999833106994,1010.5999755859376,1009.1500244140624,96.87999725341795
KBOS,2021-06-11 00:00:00 UTC,2021-06-21 00:00:00 UTC,240.0,21.0,13.56999969482422,1.5199999809265137,2.509999990463257,1008.27001953125,1006.8499755859376,100.0
KBOS,2021-06-14 00:00:00 UTC,2021-06-17 05:00:00 UTC,77.0,16.110000610351562,9.109999656677246,-2.650000095367432,1.5199999809265137,1012.0399780273438,1010.5700073242188,21.8799991607666
