observation_time,icao,temperature_k,dewpoint_k,wind_speed_mps,sfc_press_pa,cloud_cover
2021-06-01 00:00:00,KBOS,289.14999977777785,282.09999977777784,4.6313344,101958.91,
2021-06-01 01:00:00,KBOS,289.14999977777785,282.09999977777784,4.1172384000000015,101958.91,
2021-06-01 02:00:00,KBOS,289.14999977777785,282.09999977777784,2.57048,102026.59,43.75
2021-06-01 03:00:00,KBOS,288.14999977777785,282.09999977777784,4.6313344,102060.43,
2021-06-01 04:00:00,KBOS,288.14999977777785,281.09999977777784,5.6595264,102094.27,
2021-06-01 05:00:00,KBOS,287.14999977777785,281.09999977777784,4.6313344,102094.27,
2021-06-01 06:00:00,KBOS,287.14999977777785,281.09999977777784,3.0890464,102128.11,
2021-06-01 07:00:00,KBOS,286.14999977777785,282.1111108888889,3.6031424,102094.27,
2021-06-01 08:00:00,KBOS,287.14999977777785,282.1111108888889,4.1172384000000015,102128.11,
2021-06-01 09:00:00,KBOS,287.14999977777785,281.09999977777784,4.1172384000000015,102128.11,
2021-06-01 10:00:00,KBOS,287.14999977777785,281.09999977777784,3.6031424,102161.95,
2021-06-01 11:00:00,KBOS,288.14999977777785,281.09999977777784,4.1172384000000015,102229.63,
2021-06-01 12:00:00,KBOS,289.14999977777785,281.08888866666666,4.6313344,102263.47,
2021-06-01 13:00:00,KBOS,292.14999977777785,281.09999977777784,4.6313344,102263.47,
2021-06-01 14:00:00,KBOS,294.14999977777785,280.1111108888889,4.1172384000000015,102263.47,
2021-06-01 15:00:00,KBOS,295.14999977777785,281.122222,3.6031424,102229.63,
2021-06-01 16:00:00,KBOS,296.14999977777785,282.12777755555555,3.0890464,102229.63,
2021-06-01 17:00:00,KBOS,297.14999977777785,282.1388886666667,4.1172384000000015,102195.79,
2021-06-01 18:00:00,KBOS,297.14999977777785,282.1388886666667,3.6031424,102161.95,
2021-06-01 19:00:00,KBOS,297.14999977777785,282.1388886666667,4.6313344,102128.11,
2021-06-01 20:00:00,KBOS,297.14999977777785,280.1388886666667,5.1454304,102094.27,
2021-06-01 21:00:00,KBOS,298.14999977777785,280.14999977777785,6.1736224,102060.43,
2021-06-01 22:00:00,KBOS,297.14999977777785,281.1388886666667,5.6595264,102060.43,43.75
2021-06-01 23:00:00,KBOS,297.14999977777785,280.1388886666667,5.6595264,102060.43,43.75
2021-06-02 00:00:00,KBOS,296.14999977777785,280.12777755555555,4.1172384000000015,102094.27,43.75
2021-06-02 01:00:00,KBOS,293.14999977777785,282.1111108888889,5.1454304,102128.11,43.75
2021-06-02 02:00:00,KBOS,293.14999977777785,281.09999977777784,5.6595264,102195.79,43.75
2021-06-02 03:00:00,KBOS,292.14999977777785,281.09999977777784,5.6595264,102195.79,43.75
2021-06-02 04:00:00,KBOS,292.14999977777785,283.1111108888889,5.6595264,102195.79,43.75
2021-06-02 05:00:00,KBOS,292.14999977777785,284.1111108888889,5.6595264,102195.79,
2021-06-02 06:00:00,KBOS,292.14999977777785,284.1111108888889,2.57048,102195.79,
2021-06-02 07:00:00,KBOS,290.14999977777785,283.1111108888889,2.056384,102195.79,
2021-06-02 08:00:00,KBOS,289.14999977777785,284.1111108888889,2.056384,102195.79,
2021-06-02 09:00:00,KBOS,288.14999977777785,284.122222,3.6031424,102229.63,
2021-06-02 10:00:00,KBOS,287.14999977777785,284.122222,2.57048,102229.63,
2021-06-02 11:00:00,KBOS,290.14999977777785,284.1111108888889,2.056384,102263.47,
2021-06-02 12:00:00,KBOS,291.14999977777785,284.1111108888889,3.0890464,102297.31,
2021-06-02 13:00:00,KBOS,294.14999977777785,285.122222,1.5422879999999999,102297.31,
2021-06-02 14:00:00,KBOS,296.14999977777785,285.12777755555555,0.0,102297.31,
2021-06-02 15:00:00,KBOS,297.14999977777785,286.1388886666667,0.0,102263.47,
2021-06-02 16:00:00,KBOS,298.14999977777785,286.1388886666667,3.6031424,102263.47,
2021-06-02 17:00:00,KBOS,297.54999977777777,284.83888866666666,6.6877184000000005,102195.79,75.0
2021-06-02 18:00:00,KBOS,297.14999977777785,284.1388886666667,6.6877184000000005,102161.95,43.75
2021-06-02 19:00:00,KBOS,296.14999977777785,286.12777755555555,6.6877184000000005,102128.11,43.75
2021-06-02 20:00:00,KBOS,297.14999977777785,287.1388886666667,5.6595264,102060.43,43.75
2021-06-02 21:00:00,KBOS,299.14999977777785,285.1611108888889,6.6877184000000005,101992.75,43.75
2021-06-02 22:00:00,KBOS,298.14999977777785,285.14999977777785,6.1736224,102026.59,43.75
2021-06-02 23:00:00,KBOS,296.14999977777785,284.12777755555555,8.2300064,102026.59,43.75
2021-06-03 00:00:00,KBOS,294.14999977777785,286.122222,5.1454304,102094.27,43.75
2021-06-03 01:00:00,KBOS,293.14999977777785,286.122222,5.1454304,102128.11,43.75
2021-06-03 02:00:00,KBOS,292.14999977777785,286.122222,4.1172384000000015,102161.95,
2021-06-03 03:00:00,KBOS,293.14999977777785,286.122222,4.6313344,102128.11,
2021-06-03 04:00:00,KBOS,292.14999977777785,286.122222,5.6595264,102128.11,43.75
2021-06-03 05:00:00,KBOS,292.14999977777785,286.122222,4.1172384000000015,102094.27,75.0
2021-06-03 06:00:00,KBOS,291.14999977777785,285.1111108888889,3.6031424,102026.59,43.75
2021-06-03 07:00:00,KBOS,290.14999977777785,285.122222,4.1172384000000015,102026.59,
2021-06-03 08:00:00,KBOS,290.14999977777785,285.122222,2.57048,101992.75,
2021-06-03 09:00:00,KBOS,289.14999977777785,285.122222,2.056384,101992.75,
